home_goals;guest_goals;home_guess_rel;draw_guess_rel;guest_guess_rel;home_guess;draw_guess;guest_guess;year;league;int_id
4;1;0.71210223001754;0.171636181408168;0.116261588574292;2842;685;464;2019;1;1978
2;0;0.40618609406953;0.308026584867076;0.285787321063395;1589;1205;1118;2019;1;1979
1;0;0.801638085487586;0.127463527002815;0.070898387509598;3132;498;277;2019;1;1980
1;0;0.308022199798184;0.241927346115035;0.450050454086781;1221;959;1784;2019;1;1983
1;2;0.31408126756964;0.369026322514695;0.316892409915666;1229;1444;1240;2019;1;1984
2;1;0.080061585835258;0.134719014626636;0.785219399538106;312;525;3060;2019;1;1985
0;2;0.539012535175237;0.224865694551036;0.236121770273727;2107;879;923;2019;1;1986
1;1;0.753589743589744;0.160769230769231;0.085641025641026;2939;627;334;2019;1;1987
2;2;0.844725511302476;0.117330462863294;0.03794402583423;3139;436;141;2019;1;2132
2;1;0.125636217519421;0.196892579694616;0.677471202785963;469;735;2529;2019;1;2133
0;1;0.036319612590799;0.072639225181598;0.891041162227603;135;270;3312;2019;1;2134
0;3;0.337704040674338;0.395236820979395;0.267059138346267;1262;1477;998;2019;1;2135
1;4;0.698224852071006;0.188273265196342;0.113501882732652;2596;700;422;2019;1;2136
0;3;0.192116868798236;0.157662624035281;0.650220507166483;697;572;2359;2019;1;2137
3;0;0.963081861958266;0.023274478330658;0.013643659711076;3600;87;51;2019;1;2138
3;1;0.840333871836295;0.116047388260635;0.04361873990307;3121;431;162;2019;1;2142
1;1;0.973698336017177;0.016371443907676;0.009930220075148;3628;61;37;2019;1;2143
3;0;0.680021511158914;0.16913148695886;0.150847001882226;2529;629;561;2019;1;2139
2;1;0.867710583153348;0.093952483801296;0.038336933045356;3214;348;142;2019;1;2140
0;2;0.602806260118726;0.200215866162979;0.196977873718295;2234;742;730;2019;1;2144
1;3;0.318918918918919;0.277567567567568;0.403513513513513;1180;1027;1493;2019;1;2145
4;1;0.057219973009447;0.080971659919028;0.861808367071525;212;300;3193;2019;1;2147
2;1;0.219002507662301;0.263583170799666;0.517414321538033;786;946;1857;2019;1;2148
3;2;0.588835212023618;0.194847020933977;0.216317767042405;2194;726;806;2019;1;2149
3;0;0.754484605087015;0.128246318607764;0.117269076305221;2818;479;438;2019;1;2150
1;3;0.756268535993529;0.174170935562146;0.069560528444325;2805;646;258;2019;1;2151
3;3;0.985930735930736;0.010822510822511;0.003246753246753;3644;40;12;2019;1;2146
4;1;0.959805772862153;0.022390072835177;0.017804154302671;3558;83;66;2019;1;2176
3;3;0.252237591537836;0.341470029834554;0.406292378627611;930;1259;1498;2019;1;2180
2;0;0.905575791538246;0.049873914261698;0.044550294200056;3232;178;159;2019;1;2181
1;1;0.3278600269179;0.297981157469717;0.374158815612382;1218;1107;1390;2019;1;2182
1;2;0.022505422993493;0.042299349240781;0.935195227765727;83;156;3449;2019;1;2183
1;3;0.133098400650583;0.261046354025481;0.605855245323936;491;963;2235;2019;1;2186
1;0;0.082747431043808;0.099783666846944;0.817468902109248;306;369;3023;2019;1;2187
5;2;0.898030752630159;0.076342055570542;0.025627191799299;3329;283;95;2019;1;2188
1;0;0.405493608920316;0.252379657329345;0.34212673375034;1491;928;1258;2019;1;2165
1;2;0.914285714285714;0.050673854447439;0.035040431266846;3392;188;130;2019;1;2168
1;2;0.081749049429658;0.097772949483976;0.820478001086366;301;360;3021;2019;1;2170
0;2;0.190114068441065;0.216730038022814;0.593155893536122;700;798;2184;2019;1;2171
1;1;0.09592002161578;0.123480140502567;0.780599837881654;355;457;2889;2019;1;2173
0;1;0.366356195314705;0.293536550945526;0.340107253739769;1298;1040;1205;2019;1;2174
2;0;0.973221530971058;0.020557208547471;0.006221260481471;3598;76;23;2019;1;2184
1;1;0.758863328822733;0.141542625169148;0.099594046008119;2804;523;368;2019;1;2185
2;0;0.335750738651625;0.29331184528606;0.370937416062315;1250;1092;1381;2019;1;2191
1;0;0.838131450298751;0.121401412275937;0.040467137425312;3086;447;149;2019;1;2164
3;0;0.980168432491171;0.016028253192067;0.003803314316762;3608;59;14;2019;1;2172
1;2;0.074959261271048;0.187126561651277;0.737914177077675;276;689;2717;2019;1;2175
1;0;0.321767416644077;0.329086473298997;0.349146110056926;1187;1214;1288;2019;1;2203
2;2;0.253463732681337;0.328986688399891;0.417549578918772;933;1211;1537;2019;1;2205
1;1;0.816608060589667;0.11874492832026;0.064647011090073;3019;439;239;2019;1;2206
3;0;0.951259138911454;0.028432168968319;0.020308692120228;3513;105;75;2019;1;2207
3;0;0.089753987564207;0.126520681265207;0.783725331170587;332;468;2899;2019;1;2211
3;1;0.946912545403744;0.032690695725063;0.020396758871193;3389;117;73;2019;1;2213
2;0;0.200218818380744;0.221553610503282;0.578227571115974;732;810;2114;2019;1;2192
0;2;0.174793270601654;0.183347590533219;0.641859138865127;613;643;2251;2019;1;2193
2;1;0.701634877384196;0.184468664850136;0.113896457765668;2575;677;418;2019;1;2198
1;1;0.290021929824561;0.23327850877193;0.476699561403509;1058;851;1739;2019;1;2199
2;1;0.215304443225453;0.165660998354361;0.619034558420186;785;604;2257;2019;1;2200
4;1;0.900407055630936;0.066757123473541;0.032835820895522;3318;246;121;2019;1;2201
2;1;0.93433242506812;0.045504087193461;0.02016348773842;3429;167;74;2019;1;2202
0;4;0.007662835249042;0.011494252873563;0.980842911877395;28;42;3584;2019;1;2208
0;0;0.299397920087575;0.300218938149973;0.400383141762452;1094;1097;1463;2019;1;2214
1;0;0.851639344262295;0.092349726775956;0.056010928961749;3117;338;205;2019;1;2194
